ticker,date,open_price,close_price,high_price,low_price,volume
IBM,2021-06-29,138.871887,139.149139,140.286804,138.718933,2540211
IBM,2021-06-30,138.747604,140.143402,140.468445,138.346085,3394375
IBM,2021-07-01,140.497131,140.382416,141.013382,140.124283,2809661
IBM,2021-07-02,140.449326,133.862335,140.487579,133.326965,17584515
IBM,2021-07-06,133.833649,132.676865,134.244736,131.07074,8466010
IBM,2021-07-07,132.657745,133.671127,134.158707,132.657745,4246446
IBM,2021-07-08,131.72084,134.550674,135.095596,131.606125,5739820
IBM,2021-07-09,135.229446,135.296371,135.736145,134.646271,4083689
IBM,2021-07-12,135.210327,134.722748,135.71701,133.957932,3496360
IBM,2021-07-13,134.722748,134.110901,134.722748,133.489487,3309858
IBM,2021-07-14,134.531555,133.671127,134.560226,132.820267,4606061
IBM,2021-07-15,133.193115,134.273422,134.28299,132.695984,3807126
IBM,2021-07-16,134.79924,132.79158,134.79924,132.495224,4298328
IBM,2021-07-19,130.449326,131.854691,132.399612,130.219879,8977086
IBM,2021-07-20,136.711288,133.814529,138.546844,132.600388,14237838
IBM,2021-07-21,133.814529,135.086044,135.172089,133.508606,5024984
IBM,2021-07-22,135.430206,134.521988,135.573608,134.235184,3466653
IBM,2021-07-23,134.761002,135.124283,135.468445,134.158707,4680013
IBM,2021-07-26,135.172089,136.491394,136.711288,134.923523,4441630
IBM,2021-07-27,136.261948,136.472275,137.323135,135.372849,3281302
IBM,2021-07-28,136.72084,135.53537,136.806885,135.411087,2660815
IBM,2021-07-29,136.07074,135.688339,136.673035,135.372849,2793761
IBM,2021-07-30,135.296371,134.761002,135.611862,134.598465,3698238
IBM,2021-08-02,135.229446,135.20076,136.768646,134.827911,3064257
IBM,2021-08-03,135.659653,137.734222,138.336517,135.420654,4272596
IBM,2021-08-04,137.476105,136.481842,137.839386,136.20459,2960285
IBM,2021-08-05,136.73996,136.491394,137.103256,135.965576,2884240
IBM,2021-08-06,136.711288,137.753342,138.040146,136.606125,4002833
IBM,2021-08-09,135.946457,135.038239,136.233276,134.770554,5129689
IBM,2021-08-10,135.0,135.162521,135.573608,134.168259,5543695
IBM,2021-08-11,135.544937,135.879547,136.491394,135.277252,4455960
IBM,2021-08-12,136.00383,136.778198,136.854691,135.831741,2184780
IBM,2021-08-13,136.367111,136.883362,137.265778,136.175903,1997965
IBM,2021-08-16,136.931168,137.27533,137.418732,135.975143,2913319
IBM,2021-08-17,136.711288,136.156784,136.864243,134.885284,3215195
IBM,2021-08-18,135.439774,133.336517,135.678772,133.26004,3672192
IBM,2021-08-19,132.59082,131.950287,133.317398,131.175903,4351465
IBM,2021-08-20,131.682602,132.992355,133.250473,131.233276,2780059
IBM,2021-08-23,133.479919,133.479919,133.986618,132.695984,3179422
IBM,2021-08-24,133.632889,133.690247,134.063095,133.193115,2474418
IBM,2021-08-25,133.766724,133.709366,134.608032,133.326965,2105389
IBM,2021-08-26,133.814529,132.676865,134.608032,132.60994,2613640
IBM,2021-08-27,132.60994,133.27916,133.451248,132.313583,2572637
IBM,2021-08-30,133.365204,132.858505,133.728485,132.715103,2087293
IBM,2021-08-31,133.403442,134.168259,134.741867,132.839386,4429915
IBM,2021-09-01,133.824097,133.173996,133.910141,133.068832,2588327
IBM,2021-09-02,133.575531,133.852768,133.891006,132.915863,2840413
IBM,2021-09-03,133.537292,133.441681,134.292542,133.173996,2009575
IBM,2021-09-07,133.508606,131.988525,133.642441,131.701721,3436110
IBM,2021-09-08,132.065002,132.571701,132.973236,131.548752,3122728
IBM,2021-09-09,131.787766,131.682602,132.848953,131.510513,3669682
IBM,2021-09-10,132.715103,130.994263,133.240921,130.975143,4157955
IBM,2021-09-13,132.313583,132.07457,132.877625,131.462708,4334729
IBM,2021-09-14,132.313583,130.229446,132.476105,129.388138,4659198
IBM,2021-09-15,130.229446,131.166351,131.73996,129.703629,3403579
IBM,2021-09-16,131.242828,130.430206,131.883362,129.741867,2765624
IBM,2021-09-17,129.780121,129.28299,129.942642,129.110901,5890340
IBM,2021-09-20,128.011475,128.403442,129.235184,126.940727,4990152
IBM,2021-09-21,129.168259,127.122368,129.684509,127.093689,4261927
IBM,2021-09-22,127.839386,128.709366,129.416824,127.60038,3767901
IBM,2021-09-23,129.302109,130.71701,131.376678,129.091782,3151807
IBM,2021-09-24,131.00383,131.443588,132.39006,130.736145,3100762
IBM,2021-09-27,131.892929,132.466537,132.954117,131.434036,3459017
IBM,2021-09-28,133.049713,131.424469,133.546844,131.175903,4513072
IBM,2021-09-29,131.673035,133.05928,133.776291,130.439774,3947499
IBM,2021-09-30,133.843216,132.820267,134.388138,132.40918,6090230
IBM,2021-10-01,134.79924,137.017212,137.638626,134.196945,6907889
IBM,2021-10-04,136.462708,137.772461,139.579346,136.089859,7689251
IBM,2021-10-05,138.384323,136.854691,138.623322,136.367111,7297524
IBM,2021-10-06,136.214142,136.099426,137.065002,134.694077,5573506
IBM,2021-10-07,136.453156,135.573608,137.093689,135.305923,3999695
IBM,2021-10-08,135.573608,136.9216,137.332703,134.847031,3902940
IBM,2021-10-11,137.189301,136.166351,137.74379,136.137665,2921792
IBM,2021-10-12,135.956024,134.292542,136.042068,134.13002,3293436
IBM,2021-10-13,134.340347,134.569794,135.191208,133.518158,3013003
IBM,2021-10-14,134.837479,137.084137,137.59082,134.808792,4410668
IBM,2021-10-15,137.084137,138.250473,138.479919,136.510513,3371049
IBM,2021-10-18,137.667297,136.061188,138.565964,135.525818,6437189
IBM,2021-10-19,134.875717,135.736145,136.653915,134.340347,4539117
IBM,2021-10-20,135.449326,135.659653,135.946457,134.512421,6474008
IBM,2021-10-21,127.638626,122.686424,127.839386,122.466537,32913959
IBM,2021-10-22,122.418739,122.25621,124.521988,121.042068,12114981
IBM,2021-10-25,121.921608,122.026772,122.992355,121.357552,6667204
IBM,2021-10-26,121.912048,121.5392,122.657745,121.185471,8912861
IBM,2021-10-27,121.835564,119.66539,122.25621,119.512428,7294176
IBM,2021-10-28,119.66539,120.305923,120.755257,119.13958,6802138
IBM,2021-10-29,119.913956,119.598473,120.764816,119.416824,6188973
IBM,2021-11-01,119.550667,120.726578,120.755257,118.393883,6177153
IBM,2021-11-02,120.745697,120.630974,121.577438,119.416824,4722062
